CodBod8 Diagram ID, Heiberg Diagram  ID
"CodBod8_trace019:line(Θ,Μ)","line(Θ,Κ)"
"CodBod8_trace019:line(Ε,Θ)","line(Δ,Θ)"
"CodBod8_trace019:line(Ζ,Θ)","line(Ζ,Θ)"
"CodBod8_trace019:line(Δ,Θ)","line(Ε,Θ)"
"CodBod8_trace019:line(Δ,Ζ)","line(Ε,Ζ)"
"CodBod8_trace020:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace020:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace020:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace020:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace020:line(Δ,Ε)","line(Δ,Ε)"
"CodBod8_trace020:line(Α,Β)","line(Α,Β)"
"CodBod8_trace020:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace020:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace020:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace020:line(Γ,Ε)","line(Γ,Ε)"
"CodBod8_trace020:line(Θ,Π)","line(Η,Θ)"
"CodBod8_trace020:line(Λ,Π)","line(Η,Λ)"
"CodBod8_trace020:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace020:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace020:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace020:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace020:line(Μ,Ο)","line(Μ,Ο)"
"CodBod8_trace020:line(Ξ,Ο)","line(Ξ,Ο)"
"CodBod8_trace020:line(Ν,Ξ)","line(Ν,Ξ)"
"CodBod8_trace020:line(Ν,Ο)","line(Ν,Ο)"
"CodBod8_trace021:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace021:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace021:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace021:line(Ζ,Μ)","line(Μ,Ξ)"
"CodBod8_trace021:line(Ζ,Ν)","line(Ν,Ξ)"
"CodBod8_trace021:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace021:line(Ο,Π)","line(Ο,Π)"
"CodBod8_trace021:line(Π,Ρ)","line(Π,Ρ)"
"CodBod8_trace021:line(Ο,Ρ)","line(Ο,Ρ)"
"CodBod8_trace021:line(Α,Ν)","line(Α,Η)"
"CodBod8_trace021:line(Δ,Ν)","line(Δ,Η)"
"CodBod8_trace021:line(Ν,Χ)","line(Ζ,Η)"
"CodBod8_trace021:line(Α,Χ)","line(Α,Ζ)"
"CodBod8_trace021:line(Γ,Χ)","line(Γ,Ζ)"
"CodBod8_trace021:line(Δ,Χ)","line(Δ,Ζ)"
"CodBod8_trace021:line(Φ,Χ)","line(Ζ)"
"CodBod8_trace021:line(Δ,Φ)","line(Δ)"
"CodBod8_trace021:line(Ε,Φ)","line(Ε)"
"CodBod8_trace021:line(Β,Φ)","line(Β)"
"CodBod8_trace021:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace021:line(Γ,Ε)","line(Γ,Ε)"
"CodBod8_trace021:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace022:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace022:line(Ζ,Μ)","line(Μ,Ξ)"
"CodBod8_trace022:line(Ζ,Ν)","line(Ν,Ξ)"
"CodBod8_trace022:line(Θ,Λ)","line(Θ,Λ)"
"CodBod8_trace022:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace022:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace022:line(Π,Σ)","line(Ο,Π)"
"CodBod8_trace022:line(Ρ,Σ)","line(Ο,Ρ)"
"CodBod8_trace022:line(Π,Ρ)","line(Π,Ρ)"
"CodBod8_trace022:line(Α,Δ)","line(Α,Δ)"
"CodBod8_trace022:line(Δ,Η)","line(Δ,Η)"
"CodBod8_trace022:line(Δ,Ε)","line(Δ,Ε)"
"CodBod8_trace022:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace022:line(Δ,Ζ)","line(Δ,Ζ)"
"CodBod8_trace022:line(Γ,Δ)","line(Γ,Δ)"
"CodBod8_trace022:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace022:line(Α,Η)","line(Α,Η)"
"CodBod8_trace022:line(Ε,Η)","line(Ε,Η)"
"CodBod8_trace022:line(Β,Ε)","line(Β,Ε)"
"CodBod8_trace022:line(Ε,Ζ)","line(Ε,Ζ)"
"CodBod8_trace022:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace022:line(Γ,Ζ)","line(Γ,Ζ)"
"CodBod8_trace023:circle(Α,Β,Γ,Δ,Ζ,Θ,Κ,Λ,Μ,Ν,Σ,Τ)","circle(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace023:polygon(Α,Β,Γ,Δ,Ζ,Θ,Κ,Λ,Μ,Ν,Σ,Τ)","polygon(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace023:line(Α,Ξ)","line(Α,Ξ)"
"CodBod8_trace023:line(Ξ,Ο)","line(Ξ,Ο)"
"CodBod8_trace023:line(Ο,Π)","line(Ο,Π)"
"CodBod8_trace023:line(Π,Ρ)","line(Π,Ρ)"
"CodBod8_trace023:line(Ρ,Υ)","line(Ρ,Σ)"
"CodBod8_trace023:line(Τ,Υ)[2]","line(Σ,Τ)"
"CodBod8_trace023:line(Τ,Υ)[1]","line(Τ,Υ)"
"CodBod8_trace023:line(Υ,Φ)","line(Υ,Φ)"
"CodBod8_trace023:line(Η,Φ)","line(Φ,Χ)"
"CodBod8_trace023:line(Γ,Η)","line(Γ,Χ)"
"CodBod8_trace023:line(Ξ,Σ)","line(Ε,Ξ)"
"CodBod8_trace023:line(Λ,Ξ)","line(Κ,Ξ)"
"CodBod8_trace023:line(Λ,Ο)","line(Κ,Ο)"
"CodBod8_trace023:line(Ζ,Ο)","line(Ζ,Ο)"
"CodBod8_trace023:line(Ζ,Π)","line(Ζ,Π)"
"CodBod8_trace023:line(Π,Τ)","line(Λ,Π)"
"CodBod8_trace023:line(Ρ,Τ)","line(Λ,Ρ)"
"CodBod8_trace023:line(Β,Ρ)","line(Β,Ρ)"
"CodBod8_trace023:line(Β,Υ)","line(Β,Σ)"
"CodBod8_trace023:line(Δ,Υ)","line(Δ,Σ)"
"CodBod8_trace023:line(Δ,Τ)","line(Δ,Τ)"
"CodBod8_trace023:line(Κ,Τ)","line(Η,Τ)"
"CodBod8_trace023:line(Κ,Υ)","line(H,Υ)"
"CodBod8_trace023:line(Ν,Υ)","line(Ν,Υ)"
"CodBod8_trace023:line(Ν,Φ)","line(Ν,Φ)"
"CodBod8_trace023:line(Θ,Φ)","line(Θ,Φ)"
"CodBod8_trace023:line(Η,Θ)","line(Θ,Χ)"
"CodBod8_trace023:line(Η,Μ)","line(Μ,Χ)"
"CodBod8_trace023:line(Γ,Σ)","line(Γ,Ε)"
"CodBod8_trace024:circle(Α,Β,ΓΔ,Ε,Ζ,Η)","circle(Α,Β,ΓΔ,Ε,Ζ,Η,Θ)"
"CodBod8_trace024:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace024:line(Β,Η)","line(Β,Η)"
"CodBod8_trace024:line(Β,Κ)","line(Β,Κ)"
"CodBod8_trace024:line(Ζ,Κ)","line(Ζ,Κ)"
"CodBod8_trace024:line(Η,Κ)","line(Η,Κ)"
"CodBod8_trace024:line(Δ,Ζ,Μ)","line(Δ,Ζ)"
"CodBod8_trace024:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace024:line(Η,Λ)","line(Η,Λ)"
"CodBod8_trace024:line(Ε,Λ)","line(Ε,Λ)"
"CodBod8_trace024:line(Ε)","line(Ε,Μ)"
"CodBod8_trace024:line()[1]","line(Θ,Μ)"
"CodBod8_trace024:line(Η)[1]","line(Μ,Ν)"
"CodBod8_trace024:line(Η)[2]","line(Θ,Ν)"
"CodBod8_trace024:line(Α,Η,Μ)","line(Α,Ν)"
"CodBod8_trace024:line(Α,Ξ)","line(Α,Ξ)"
"CodBod8_trace024:line(Γ,Ξ)","line(Γ,Ξ)"
"CodBod8_trace024:line(Δ,Ξ)","line(Δ,Ξ)"
"CodBod8_trace025:circle(Α,Β,Γ,Δ,Ζ,Η,Η,Μ)","circle(Α,Β,Γ,Δ,Ζ,Η,Μ,Ν)"
"CodBod8_trace025:polygon(Α,Β,Γ,Δ,Ζ,Η,Η,Μ)","polygon(Α,Β,Γ,Δ,Ζ,Η,Μ,Ν)"
"CodBod8_trace025:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace025:line(Α,Γ,Π)","line(Α,Γ)"
"CodBod8_trace025:line(Ζ,Η)","line(Ζ,Ν)"
"CodBod8_trace025:line(Η,Μ,Π)","line(Η,Μ)"
"CodBod8_trace025:line()[1]","line()[1]"
"CodBod8_trace025:line()[2]","line()[2]"
"CodBod8_trace026:circle(Α,Β,Γ,Γ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)","circle(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace026:polygon(Α,Β,Γ,Γ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)","polygon(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Κ,Λ,Μ,Ν)"
"CodBod8_trace026:line(Α,Β)",""
"CodBod8_trace026:line(Ε,Ζ)","line(Ε,Ζ)"
"CodBod8_trace026:line(Η,Θ)","line(Η,Θ)"
"CodBod8_trace026:line(Γ,Γ)","line(Γ,Δ)"
"CodBod8_trace026:line(Κ,Λ)","line(Κ,Λ)"
"CodBod8_trace026:line(Μ,Ν)","line(Μ,Ν)"
"CodBod8_trace026:circle(Ξ)","circle(Ξ)"
"CodBod8_trace026:circle(Τ)","circle(Τ)"
"CodBod8_trace026:circle(Ο)","circle(Ο)"
"CodBod8_trace026:circle(Ρ)","circle(Ρ)"
"CodBod8_trace026:circle(Π)","circle(Π)"
"CodBod8_trace026:circle(Υ)","circle(Υ)"
"CodBod8_trace026:circle(Σ)","circle(Σ)"
"CodBod8_trace027:circle(Β,Γ,Δ,Η,Θ,Κ,Λ,Μ,Ν)","circle(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Ι,Κ,Λ,Μ)"
"CodBod8_trace027:polygon(Β,Γ,Δ,Η,Θ,Κ,Λ,Μ,Ν)","polygon(Α,Β,Γ,Δ,Ε,Ζ,Η,Θ,Ι,Κ,Λ,Μ)"
"CodBod8_trace027:line(Β)[2]","line(Γ,Ε)"
"CodBod8_trace027:line(Β)[1]","line(Α,Γ)"
"CodBod8_trace027:line(Η,Θ)","line(Ζ,Κ)"
"CodBod8_trace027:line(Γ,Δ)","line(Β,Δ)"
"CodBod8_trace027:line(Κ,Λ)","line(Η,Λ)"
"CodBod8_trace027:line(Μ,Ν)","line(Θ,Μ)"
"CodBod8_trace027:circle(Ρ)","circle(Ρ)"
"CodBod8_trace028:cone(Ρ)","cone(Ρ)"
"CodBod8_trace028:circle(Α,Β,Γ,Δ,Ζ,Η,Ι,Μ,Ν,Ο,Τ,Χ)","circle(Α,Β,Γ,Δ,Ζ,Η,Θ,Ι,Κ,Λ,Μ,Ν)"
"CodBod8_trace028:polygon(Α,Β,Γ,Δ,Ζ,Η,Ι,Μ,Ν,Ο,Τ,Χ)","polygon(Α,Β,Γ,Δ,Ζ,Η,Θ,Ι,Κ,Λ,Μ,Ν)"
"CodBod8_trace028:line(Ζ,Ν)","line(Ζ,Ν)"
"CodBod8_trace028:line(Η,Μ)","line(Η,Μ)"
"CodBod8_trace028:line(Β)","line(Β,Χ)"
"CodBod8_trace028:line(Δ)","line(Δ,Χ)"
"CodBod8_trace028:line(Ι,Ο)","line(Θ,Ι)"
"CodBod8_trace028:line(Τ,Χ)","line(Κ,Λ)"
"CodBod8_trace028:line(Α)","line(Α,Χ)"
"CodBod8_trace028:line(Γ)","line(Γ,Χ)"
"CodBod8_trace028:line(Ζ)","line(Ζ,Χ)"
"CodBod8_trace028:line(Ν)","line(Ν,Χ)"
"CodBod8_trace028:line(Μ)","line(Μ,Χ)"
"CodBod8_trace028:line(Η)","line(Η,Χ)"
"CodBod8_trace028:line(Ο)","line(Θ,Χ)"
"CodBod8_trace028:line(Τ)","line(Λ,Χ)"
"CodBod8_trace028:line(Χ)","line(Κ,Χ)"
"CodBod8_trace028:line(Ι)","line(Ι,Χ)"
"CodBod8_trace029:circle(Α,Γ,Δ,Ε,Θ,Λ,Μ)",""
"CodBod8_trace029:polygon(Α,Γ,Δ,Ε,Θ,Λ,Μ)",""
"CodBod8_trace029:line(Α,Ε)",""
"CodBod8_trace029:line(Γ,Δ)",""
"CodBod8_trace029:line(Η,Θ)",""
"CodBod8_trace029:line(Η)",""
"CodBod8_trace029:line(Η,Λ)",""
"CodBod8_trace029:line(Η,Μ)",""
"CodBod8_trace029:circle(M)",""
"CodBod8_trace029:circle(Λ)",""
"CodBod8_trace029:circle(Ξ)",""
"CodBod8_trace029:circle(Ν)",""
"CodBod8_trace030:circle(Α,Β,Γ,Δ,Κ)","circle(Α,Β,Γ,Δ,Κ)"
"CodBod8_trace030:polygon(Δ,Ζ,Θ,Κ)","polygon(Δ,Ε,Ζ,Η,Θ,Κ)"
"CodBod8_trace030:circle(Ζ,Θ)","circle(Ε,Ζ,Η,Θ)"
"CodBod8_trace030:line(Α)","line(Α,Ε)"
"CodBod8_trace030:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace030:line(Γ)","line(Γ,Η)"
"CodBod8_trace030:line(Β,Ζ)","line(Β,Ζ)"
"CodBod8_trace030:line(Β,Θ)","line(Β,Θ)"
"CodBod8_trace030:line(Δ,Κ)","line(Δ,Κ)"
"CodBod8_trace030:line(Δ)",""
"CodBod8_trace030:line(Κ)",""
"CodBod8_trace031:circle(Ε,Ζ,Θ,Κ)","circle(Ε,Ζ,Η,Θ,Κ)"
"CodBod8_trace031:polygon(Ε,Ζ,Θ,Κ,Σ)","polygon(Ε,Ζ,Η,Θ,Κ,Μ)"
"CodBod8_trace031:circle(Α,Γ,Σ)","circle(Α,Β,Γ,Δ,Μ)"
"CodBod8_trace031:circle(Λ)","circle(Λ)"
"CodBod8_trace031:line(Σ,Χ)","line(Μ,Χ)"
"CodBod8_trace031:line(Θ,Κ)","line(Θ,Κ)"
"CodBod8_trace031:line(Α,Ε)","line(Α,Ε)"
"CodBod8_trace031:line(Α,Χ)","line(Α,Χ)"
"CodBod8_trace031:line(Γ,Χ)","line(Γ,Χ)"
"CodBod8_trace031:line(Γ,Η)","line(Γ)"
"CodBod8_trace031:line(Ζ)","line(Β,Ζ)"
"CodBod8_trace031:line(Χ)[1]","line(Β,Χ)"
"CodBod8_trace031:line(Χ)[2]","line(Δ,Χ)"
"CodBod8_trace031:line(Θ)","line(Δ,Θ)"
"CodBod8_trace032:circle(Ν)","circle(Ν)"
"CodBod8_trace032:circle(Ο)","circle(Ο)"
"CodBod8_trace032:circle(Ξ)","circle(Ξ)"
"CodBod8_trace032:circle(Μ)","circle(Μ)"
"CodBod8_trace032:circle(Α,Β,Γ,Δ,Κ,Σ)","circle(Α,Β,Γ,Δ,Κ)"
"CodBod8_trace032:polygon(Α,Β,Γ,Δ,Κ,Π)","polygon(Α,Β,Γ,Δ,Κ)"
"CodBod8_trace032:polygon(Ε,Θ,Λ,Ν,Σ)","polygon(Ε,Ζ,Η,Θ,Λ)"
"CodBod8_trace032:line(Α,Γ)","line(Α,Γ)"
"CodBod8_trace032:line(Β,Δ)","line(Β,Δ)"
"CodBod8_trace032:line(Δ,Θ)","line(Δ,Θ)"
