duplicatedText,secondPass,imageReference,section,folio,order
"σημεῖον τὸ Γ, καὶ ἐπεζεύχθωσαν αἱ ΑΓ ΓΒ","σημεῖον τὸ Γ, καὶ ἐπεζεύχθωσαν αἱ ΑΓ ΓΒ·","urn:cite:ecod:codbod8.cb-0008_168r@0.0841,0.3728,0.5355,0.0728",urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,168r,001
μεί-ζους τῶν ΑΖΗΘΚΕ,μείζους τῶν ΑΖΗΘΚΕ,"urn:cite:ecod:codbod8.cb-0008_169r@0.0821,0.4141,0.5516,0.0533",urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.4,169r,002
κινουμένου περὶ τὸ Α,<del>κινουμένου περὶ τὸ Α</del>,"urn:cite:ecod:codbod8.cb-0008_183v@0.3834,0.7127,0.5666,0.0765",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,183v,008
ὥστε καὶ ΜΚ πρὸς ΚΛ ἡ ΓΗ πρὸς ΗΤ·,"ὥστε καὶ ἡ ΜΚ πρὸς ΚΛ μείζονα λόγον ἔχει, ἤπερ ἡ ΓΗ πρὸς ΗΤ⁑","urn:cite:ecod:codbod8.cb-0008_171v@0.4004,0.6849,0.4795,0.0758",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,003
λαμβανομένης· ἀχθείσης δὴ,<del>λαμβανομένης· ἀχθείσης δὲ</del>,"urn:cite:ecod:codbod8.cb-0008_174v@0.3944,0.2858,0.5556,0.075",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.14,174r,005
τοὺς πινακίσκους,τοὺς πινακίσκους,"urn:cite:ecod:codbod8.cb-0008_188r@0.2933,0.3751,0.3574,0.0435",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,188r,012
διὰ τὰ αὐτὰ δὴ καὶ τὸ ΔΒΗ τοῦ ΒΗΑ,<del>διὰ τὰ αὐτὰ δὴ καὶ τὸ ΔΒΗ τοῦ ΒΗΑ</del>,"urn:cite:ecod:codbod8.cb-0008_173r@0.0521,0.4966,0.5546,0.0765",urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,173r,004
ἡ δὲ,<del>ἡ δὲ</del>,"urn:cite:ecod:codbod8.cb-0008_176v@0.3924,0.3098,0.5746,0.0503",urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.9,176v,006
ΕΑ λαμβανομένων· ἐδείχθη δὲ καὶ ἐπὶ πάντων τῶν μεταξὺ τῶν,ΑΕ λαμβανομένων· ἐδεί-χθη δὲ καὶ ἐπὶ πάντων τῶν μεταξὺ τῶν,"urn:cite:ecod:codbod8.cb-0008_200r@0.0801,0.7464,0.5996,0.0375
urn:cite:ecod:codbod8.cb-0008_200v@0.3704,0.1058,0.5996,0.0818",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200r-200v,017
"οὕτως ἡ ΚΘ, πρὸς Δ· ἐπεὶ γὰρ γέγονεν ὡς ἡ ΨΥ πρὸς ΘΚ ἡ ΧΤ πρὸς Δ· ἐναλλάξ ὡς ἡ ΨΥ πρὸς ΧΤ· ἡ ΚΘ πρὸς Δ· ἀλλ' ὡς ἡ ΨΥ πρὸς ΧΤ τὸ ἀπὸ ΑΒ πρὸς τὸ ἀπὸ ΘΚ·","οὕτως ἡ ΚΘ πρὸς Δ· ἐπεὶ γὰρ γέγονεν ὡς ἡ ΨΥ πρὸς ΘΚ· ἡ ΧΤ πρὸς Δ· ἐναλλάξ ὡς ἡ ΨΥ πρὸς ΧΤ ἡ ΚΘ πρὸς Δ· ἀλλ' ὡς ἡ ΨΥ πρὸς ΧΤ, τὸ ἀπὸ ΑΒ πρὸς τὸ ἀπὸ ΘΚ·","urn:cite:ecod:codbod8.cb-0008_209v@0.4094,0.2618,0.5485,0.1388",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,209v,021
ἀπὸ,ἀπὸ,"urn:cite:ecod:codbod8.cb-0008_180v@0.3834,0.1958,0.5566,0.0398",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,180v,007
"καὶ ἔστω ὡς ἡ ΚΘ πρὸς ΘΔ, οὕτως ἡ ΑΕ πρὸς ΕΓ·",καὶ ἔστω ὡς ἡ ΚΘ πρὸς ΘΔ· οὕτως ἡ ΑΕ πρὸς ΕΓ·,"urn:cite:ecod:codbod8.cb-0008_193r@0.0641,0.1485,0.5536,0.0525",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,193r,015
ἀ,απὸ,"urn:cite:ecod:codbod8.cb-0008_206v@0.9049,0.7577,0.029,0.0248
urn:cite:ecod:codbod8.cb-0008_207r@0.0791,0.1373,0.0591,0.03",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206v-207r,020
πρὸς τὸ ἀπὸ ΘΓ λό-γος διπλάσιός ἐστι τοῦ τῆς ΑΘ πρὸς ΘΓ· τὸ ἄρα ἀπὸ ΑΘ,πρὸς τὸ ἀπὸ ΘΓ λόγος διπλάσιός ἐστι τοῦ τῆς ΑΘ πρὸς ΘΓ· τὸ ἄρα ἀπὸ ΑΘ,"urn:cite:ecod:codbod8.cb-0008_214r@0.0831,0.7442,0.5696,0.0488
urn:cite:ecod:codbod8.cb-0008_214v@0.3974,0.1358,0.5355,0.0578",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r-214v,023
πάλιν ἐπεί ἐστι ὡς ἡ ΑΒ πρὸς ΒΕ·,πάλιν ἐπεί ἐστι ὡς ἡ ΑΒ πρὸς ΒΕ·,"urn:cite:ecod:codbod8.cb-0008_185v@0.3934,0.2003,0.5536,0.0518",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,185v,009
ὥστε τὰς καταγομένας,<del>ὥστε τὰς καταγομένας</del>,"urn:cite:ecod:codbod8.cb-0008_200v@0.3854,0.3781,0.5646,0.0645",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,200v,018
καὶ ἡ ΗΚ πρὸς ΚΘ· ἀλλ' ὡς ἡ ΖΚ πρὸς ΚΗ· ἡ ΕΚ πρὸς ΚΖ· καὶ ὡς ἄρα ἡ ΕΚ πρὸς ΚΖ· ἡ ΖΚ πρὸς ΚΗ,καὶ ἡ ΚΗ πρὸς ΚΘ· ἀλλ' ὡς ἡ ΖΚ πρὸς ΚΗ· ἡ ΕΚ πρὸς ΚΖ· καὶ ὡς ἄρα ἡ ΕΚ πρὸς ΚΖ· ἡ ΖΚ πρὸς ΚΗ·,"urn:cite:ecod:codbod8.cb-0008_187v@0.3894,0.7022,0.5596,0.0713",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,187v,010
πρὸς,<del>πρὸς</del>,"urn:cite:ecod:codbod8.cb-0008_191r@0.0561,0.4381,0.5776,0.054",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,191r,013
ὡς δὲ ἡ ΗΚ πρὸς ΚΘ· καὶ ὡς ἄρα ἡ ΑΕ πρὸς ΒΖ ἡ ΒΖ πρὸς ΓΗ·,ὡς δὲ ἡ ΗΚ πρὸς ΚΘ· ἡ ΚΗ πρὸς ΔΘ· καὶ ὡς ἄρα ἡ ΑΕ πρὸς ΒΖ ἡ ἡ ΒΖ πρὸς ΓΗ,"urn:cite:ecod:codbod8.cb-0008_188r@0.0741,0.1215,0.5716,0.0818",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,188r,011
ἀπὸ,ἀπὸ,"urn:cite:ecod:codbod8.cb-0008_191v@0.4104,0.1343,0.5455,0.0548",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,191v,014
τὸ,τὸ,"urn:cite:ecod:codbod8.cb-0008_199r@0.0571,0.1763,0.3193,0.0473",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,199r,016
"καὶ τὸ ὑπὸ ΤΟΥ ἄρα πρὸς τὸ ἀπὸ ΕΗ λόγον ἔχει, ὃν ἡ διπλασία τῆς Γ πρὸς τὴν Δ·",καὶ τὸ ὑπὸ ΤΟΥ ἄρα πρὸς τὸ ἀπὸ ΕΗ λόγον ἔχει<milestone>ὃν ἡ διπλασία τῆς Γ πρὸς τὴν Δ·,"urn:cite:ecod:codbod8.cb-0008_205r@0.0761,0.7149,0.5576,0.102
urn:cite:ecod:codbod8.cb-0008_205v@0.4034,0.132,0.3093,0.042",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,205r-205v,019
πρὸς τὸ ἀπὸ ΖΗ· τὸ δὲ ὑπὸ ΘΖΗ,πρὸς τὸ ἀπὸ ΖΗ· τὸ δὲ ὑπὸ ΘΖΗ,"urn:cite:ecod:codbod8.cb-0008_211v@0.6406,0.3031,0.3153,0.0735",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211v,022
ΘΗ πρὸς τὸ ἀπὸ ΓΘ ἑπὶ τὴν,ΘΗ πρὸς τὸ ἀπὸ ΓΘ ἑπὶ τὴν,"urn:cite:ecod:codbod8.cb-0008_216r@0.0851,0.5836,0.5435,0.0525",urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,024
