persNameUrn,English
urn:cite:ap:persName.01,Euclid
urn:cite:ap:persName.02,Archimedes
urn:cite:ap:persName.03,Ammon
urn:cite:ap:persName.04,Dositheus
urn:cite:ap:persName.05,Conon
urn:cite:ap:persName.06,Eudoxus
urn:cite:ap:persName.07,Plato
urn:cite:ap:persName.17,Eudemus
urn:cite:ap:persName.19,Ptolemy (King)
urn:cite:ap:persName.08,Hero
urn:cite:ap:persName.12,Pappus
urn:cite:ap:persName.09,Philon
urn:cite:ap:persName.10,Appolonius
urn:cite:ap:persName.16,Archytas
urn:cite:ap:persName.20,Minos
urn:cite:ap:persName.11,Diocles
urn:cite:ap:persName.13,Sporus
urn:cite:ap:persName.18,Eratosthenes
urn:cite:ap:persName.14,Menaechmus
urn:cite:ap:persName.15,Isidore
urn:cite:ap:persName.21,Glaucus
urn:cite:ap:persName.22,Nicomedes
urn:cite:ap:persName.23,Theon
urn:cite:ap:persName.26,Heronas
urn:cite:ap:persName.24,Arcadius
urn:cite:ap:persName.25,Nicomachus
urn:cite:ap:persName.27,Dionysodorus
urn:cite:ap:persName.28,Democritus
urn:cite:ap:persName.29,Eutocius
urn:cite:ap:persName.30,Hippocrates
urn:cite:ap:persName.31,Antiphon
urn:cite:ap:persName.32,Heraclides
urn:cite:ap:persName.33,Claudius Ptolemy
urn:cite:ap:persName.34,Eudemus