"Number","Type","Image","Folio"
11,,"urn:cite:ap:apimg.014r-019v_Arch02r_Sinar_pseudo_no-veil@0.077,0.31,0.028,0.0313",urn:cite:fuhc:euch.2r
1,"Postulate","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.47466667,0.58800000,0.02100000,0.02300000",urn:cite:fuhc:euch.3r
1,"Proposition","urn:cite:ap:apimg.081r-088v_Arch03r_Sinar_pseudo_no-veil@0.43266667,0.79925000,0.02366667,0.03000000",urn:cite:fuhc:euch.3r
4,"Proposition","urn:cite:ap:apimg.056v-049r_Arch04v_Sinar_pseudo_no-veil@0.48333333,0.06650000,0.02600000,0.03325000",urn:cite:fuhc:euch.4v
5,"Proposition","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.42000000,0.06275000,0.02400000,0.03500000",urn:cite:fuhc:euch.5r
6,"Proposition","urn:cite:ap:apimg.055r-050v_Arch05r_Sinar_pseudo_no-veil@0.41166667,0.61550000,0.01933333,0.03275000",urn:cite:fuhc:euch.5r
1,"Book","urn:cite:ap:apimg.urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.73766667,0.16200000,0.03100000,0.04550000",urn:cite:fuhc:euch.7r
2,"Book","urn:cite:ap:apimg.urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.74933333,0.57350000,0.03600000,0.06000000",urn:cite:fuhc:euch.7r
1,"Proposition","urn:cite:ap:apimg.urn:cite:ap:apimg.017r-016v_Arch07r_Sinar_pseudo_no-veil@0.40433333,0.61675000,0.02266667,0.01925000",urn:cite:fuhc:euch.7r
2,"Proposition","urn:cite:ap:apimg.017v-016r_Arch07v_Sinar_pseudo_no-veil@0.4827,0.0595,0.0243,0.023",urn:cite:fuhc:euch.7v
3,"Proposition","urn:cite:ap:apimg.028r-021v_Arch08r_Sinar_pseudo_no-veil@0.755,0.7813,0.0283,0.0423",urn:cite:fuhc:euch.8r
8,"Proposition","urn:cite:ap:apimg.069r-068v_Arch09r_Sinar_pseudo_no-veil@0.461,0.6173,0.0193,0.0195",urn:cite:fuhc:euch.9r
2,"Book","urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.218,0.4418,0.046,0.035",urn:cite:fuhc:euch.15r
1,,"urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.409,0.3215,0.021,0.0205",urn:cite:fuhc:euch.15r
2,,"urn:cite:ap:apimg.046r-043v_Arch15r_Sinar_pseudo_no-veil@0.44,0.7643,0.0163,0.0177",urn:cite:fuhc:euch.15r
3,,"urn:cite:ap:apimg.165r-168v_Arch29v-30r_Sinar_pseudo_no-veil@0.4407,0.6262,0.0123,0.0147",urn:cite:fuhc:euch.30r
11,"Proposition","urn:cite:ap:apimg.162r-155v_Arch32r_Sinar_pseudo_no-veil@0.1117,0.5508,0.025,0.0268",urn:cite:fuhc:euch.32r
12,"Proposition","urn:cite:ap:apimg.125v-132r_Arch33v_Sinar_pseudo_no-veil@0.1573,0.645,0.0267,0.023",urn:cite:fuhc:euch.33v
13,"Proposition","urn:cite:ap:apimg.125v-132r_Arch33v_Sinar_pseudo_no-veil@0.5053,0.7208,0.0233,0.0177",urn:cite:fuhc:euch.33v
15,"Proposition","urn:cite:ap:apimg.126v-131r_Arch34v_Sinar_pseudo_no-veil@0.1413,0.5375,0.03,0.0225",urn:cite:fuhc:euch.34v
16,"Proposition","urn:cite:ap:apimg.161r-156v_Arch35r_Sinar_pseudo_no-veil@0.0967,0.3767,0.0243,0.0305",urn:cite:fuhc:euch.35r
18,"Proposition","urn:cite:ap:apimg.060r-061v_Arch36r_Sinar_pseudo_no-veil@0.4377,0.082,0.036,0.0352",urn:cite:fuhc:euch.36r
19,"Proposition","urn:cite:ap:apimg.060v-061r_Arch36v_Sinar_pseudo_no-veil@0.4693,0.3548,0.0303,0.023",urn:cite:fuhc:euch.36v
20,"Proposition","urn:cite:ap:apimg.030r-033v_Arch37r_Sinar_pseudo_no-veil@0.4347,0.068,0.0233,0.0208",urn:cite:fuhc:euch.37r
22,"Proposition","urn:cite:ap:apimg.096v-089r_Arch38v_Sinar_pseudo_no-veil@0.12,0.7485,0.0367,0.0413",urn:cite:fuhc:euch.38v
23,"Proposition","urn:cite:ap:apimg.102r-098v_Arch39r_Sinar_pseudo_no-veil@0.42,0.5698,0.0307,0.022",urn:cite:fuhc:euch.39r
24,"Proposition","urn:cite:ap:apimg.102v-098r_Arch39v_Sinar_pseudo_no-veil@0.477,0.4585,0.0333,0.029",urn:cite:fuhc:euch.39v
25,"Proposition","urn:cite:ap:apimg.147v-142r_Arch40r_Sinar_pseudo_no-veil@0.4243,0.5565,0.0273,0.0223",urn:cite:fuhc:euch.40r
26,"Proposition","urn:cite:ap:apimg.147r-142v_Arch40v_Sinar_pseudo_no-veil@0.4743,0.6065,0.0337,0.0393",urn:cite:fuhc:euch.40v
27,"Proposition","urn:cite:ap:apimg.148v-141r_Arch41r_Sinar_pseudo_no-veil@0.4403,0.6965,0.0337,0.0315",urn:cite:fuhc:euch.41r
29,"Proposition","urn:cite:ap:apimg.103v-097r_Arch42v_Sinar_pseudo_no-veil@0.475,0.3137,0.0257,0.013",urn:cite:fuhc:euch.42v
30,"Proposition","urn:cite:ap:apimg.095v-090r_Arch43v_Sinar_pseudo_no-veil@0.466,0.72,0.0207,0.0313",urn:cite:fuhc:euch.43v
31,"Proposition","urn:cite:ap:apimg.031r-032v_Arch44r_Sinar_pseudo_no-veil@0.4163,0.4765,0.0243,0.0243",urn:cite:fuhc:euch.44r
1,"Proposition","urn:cite:ap:apimg.003r-006v_Arch46r_Sinar_pseudo_no-veil@0.4153,0.7813,0.0323,0.0423",urn:cite:fuhc:euch.46r
2,"Proposition","urn:cite:ap:apimg.003v-006r_Arch46v_Sinar_pseudo_no-veil@0.135,0.632,0.025,0.0445",urn:cite:fuhc:euch.46v
9,"Proposition","urn:cite:ap:apimg.004r-005v_Arch47r_Sinar_pseudo_no-veil@0.418,0.059,0.0273,0.0373",urn:cite:fuhc:euch.47r
11,"Proposition","urn:cite:ap:apimg.108r-107v_Arch48r_Sinar_pseudo_no-veil@0.429,0.176,0.026,0.0298",urn:cite:fuhc:euch.48r
14,"Proposition","urn:cite:ap:apimg.038r-035v_Arch50r_Sinar_pseudo_no-veil@0.1057,0.7275,0.0267,0.0335",urn:cite:fuhc:euch.50r
18,"Proposition","urn:cite:ap:apimg.034v-029r_Arch52v_Sinar_pseudo_no-veil@0.1583,0.5288,0.029,0.0375",urn:cite:fuhc:euch.52v
19,"Proposition","urn:cite:ap:apimg.034v-029r_Arch52v_Sinar_pseudo_no-veil@0.4747,0.6473,0.0293,0.0408",urn:cite:fuhc:euch.52v
20,"Proposition","urn:cite:ap:apimg.0000-100v_Arch53r_Sinar_pseudo_no-veil@0.409,0.3888,0.022,0.0278",urn:cite:fuhc:euch.53r
21,"Proposition","urn:cite:ap:apimg.0000-100r_Arch53v_Sinar_pseudo_no-veil@0.4897,0.4483,0.026,0.031",urn:cite:fuhc:euch.53v
22,"Proposition","urn:cite:ap:apimg.037r-036v_Arch54r_Sinar_pseudo_no-veil@0.4057,0.673,0.0297,0.038",urn:cite:fuhc:euch.54r
24,"Proposition","urn:cite:ap:apimg.140v-133r_Arch55v_Sinar_pseudo_no-veil@0.1433,0.6118,0.0283,0.0418",urn:cite:fuhc:euch.55v
25,"Proposition","urn:cite:ap:apimg.112r-115v_Arch56r_Sinar_pseudo_no-veil@0.44,0.285,0.0263,0.0303",urn:cite:fuhc:euch.56r
37,"Proposition","urn:cite:ap:apimg.113v-114r_Arch60v_Sinar_pseudo_no-veil@0.1563,0.6002,0.0283,0.0325",urn:cite:fuhc:euch.60v
38,"Proposition","urn:cite:ap:apimg.123r-118v_Arch61r_Sinar_pseudo_no-veil@0.1013,0.6433,0.0253,0.0293",urn:cite:fuhc:euch.61r
40,"Proposition","urn:cite:ap:apimg.116r-111v_Arch62r_Sinar_pseudo_no-veil@0.4157,0.6068,0.0237,0.0333",urn:cite:fuhc:euch.62r
2,"Book","urn:cite:ap:apimg.094r-091v_Arch64r_Sinar_pseudo_no-veil@0.214,0.0558,0.0457,0.0378",urn:cite:fuhc:euch.64r
1,"Proposition","urn:cite:ap:apimg.094r-091v_Arch64r_Sinar_pseudo_no-veil@0.414,0.349,0.023,0.0275",urn:cite:fuhc:euch.64r
2,"Proposition","urn:cite:ap:apimg.094v-091r_Arch64v_Sinar_pseudo_no-veil@0.4793,0.2905,0.018,0.0355",urn:cite:fuhc:euch.64v
