URN,Sequence,Label
urn:cite:fuhc:pal.1r,1,Folio 1 recto.
urn:cite:fuhc:pal.1v,2,Folio 1 verso.
urn:cite:fuhc:pal.2r,3,Folio 2 recto.
urn:cite:fuhc:pal.2v,4,Folio 2 verso.
urn:cite:fuhc:pal.3r,5,Folio 3 recto.
urn:cite:fuhc:pal.3v,6,Folio 3 verso.
urn:cite:fuhc:pal.4r,7,Folio 4 recto.
urn:cite:fuhc:pal.4v,8,Folio 4 verso.
urn:cite:fuhc:pal.5r,9,Folio 5 recto.
urn:cite:fuhc:pal.5v,10,Folio 5 verso.
urn:cite:fuhc:pal.6r,11,Folio 6 recto.
urn:cite:fuhc:pal.6v,12,Folio 6 verso.
urn:cite:fuhc:pal.7r,13,Folio 7 recto.
urn:cite:fuhc:pal.7v,14,Folio 7 verso.
urn:cite:fuhc:pal.8r,15,Folio 8 recto.
urn:cite:fuhc:pal.8v,16,Folio 8 verso.
urn:cite:fuhc:pal.9r,17,Folio 9 recto.
urn:cite:fuhc:pal.9v,18,Folio 9 verso.
urn:cite:fuhc:pal.10r,19,Folio 10 recto.
urn:cite:fuhc:pal.10v,20,Folio 10 verso.
urn:cite:fuhc:pal.11r,21,Folio 11 recto.
urn:cite:fuhc:pal.11v,22,Folio 11 verso.
urn:cite:fuhc:pal.12r,23,Folio 12 recto.
urn:cite:fuhc:pal.12v,24,Folio 12 verso.
urn:cite:fuhc:pal.13r,25,Folio 13 recto.
urn:cite:fuhc:pal.13v,26,Folio 13 verso.
urn:cite:fuhc:pal.14r,27,Folio 14 recto.
urn:cite:fuhc:pal.14v,28,Folio 14 verso.
urn:cite:fuhc:pal.15r,29,Folio 15 recto.
urn:cite:fuhc:pal.15v,30,Folio 15 verso.
urn:cite:fuhc:pal.16r,31,Folio 16 recto.
urn:cite:fuhc:pal.16v,32,Folio 16 verso.
urn:cite:fuhc:pal.17r,33,Folio 17 recto.
urn:cite:fuhc:pal.17v,34,Folio 17 verso.
urn:cite:fuhc:pal.18r,35,Folio 18 recto.
urn:cite:fuhc:pal.18v,36,Folio 18 verso.
urn:cite:fuhc:pal.19r,37,Folio 19 recto.
urn:cite:fuhc:pal.19v,38,Folio 19 verso.
urn:cite:fuhc:pal.20r,39,Folio 20 recto.
urn:cite:fuhc:pal.20v,40,Folio 20 verso.
urn:cite:fuhc:pal.21r,41,Folio 21 recto.
urn:cite:fuhc:pal.21v,42,Folio 21 verso.
urn:cite:fuhc:pal.22r,43,Folio 22 recto.
urn:cite:fuhc:pal.22v,44,Folio 22 verso.
urn:cite:fuhc:pal.23r,45,Folio 23 recto.
urn:cite:fuhc:pal.23v,46,Folio 23 verso.
urn:cite:fuhc:pal.24r,47,Folio 24 recto.
urn:cite:fuhc:pal.24v,48,Folio 24 verso.
urn:cite:fuhc:pal.25r,49,Folio 25 recto.
urn:cite:fuhc:pal.25v,50,Folio 25 verso.
urn:cite:fuhc:pal.26r,51,Folio 26 recto.
urn:cite:fuhc:pal.26v,52,Folio 26 verso.
urn:cite:fuhc:pal.27r,53,Folio 27 recto.
urn:cite:fuhc:pal.27v,54,Folio 27 verso.
urn:cite:fuhc:pal.28r,55,Folio 28 recto.
urn:cite:fuhc:pal.28v,56,Folio 28 verso.
urn:cite:fuhc:pal.29r,57,Folio 29 recto.
urn:cite:fuhc:pal.29v,58,Folio 29 verso.
urn:cite:fuhc:pal.30r,59,Folio 30 recto.
urn:cite:fuhc:pal.30v,60,Folio 30 verso.
urn:cite:fuhc:pal.31r,61,Folio 31 recto.
urn:cite:fuhc:pal.31v,62,Folio 31 verso.
urn:cite:fuhc:pal.32r,63,Folio 32 recto.
urn:cite:fuhc:pal.32v,64,Folio 32 verso.
urn:cite:fuhc:pal.33r,65,Folio 33 recto.
urn:cite:fuhc:pal.33v,66,Folio 33 verso.
urn:cite:fuhc:pal.34r,67,Folio 34 recto.
urn:cite:fuhc:pal.34v,68,Folio 34 verso.
urn:cite:fuhc:pal.35r,69,Folio 35 recto.
urn:cite:fuhc:pal.35v,70,Folio 35 verso.
urn:cite:fuhc:pal.36r,71,Folio 36 recto.
urn:cite:fuhc:pal.36v,72,Folio 36 verso.
urn:cite:fuhc:pal.37r,73,Folio 37 recto.
urn:cite:fuhc:pal.37v,74,Folio 37 verso.
urn:cite:fuhc:pal.38r,75,Folio 38 recto.
urn:cite:fuhc:pal.38v,76,Folio 38 verso.
urn:cite:fuhc:pal.39r,77,Folio 39 recto.
urn:cite:fuhc:pal.39v,78,Folio 39 verso.
urn:cite:fuhc:pal.40r,79,Folio 40 recto.
urn:cite:fuhc:pal.40v,80,Folio 40 verso.
urn:cite:fuhc:pal.41r,81,Folio 41 recto.
urn:cite:fuhc:pal.41v,82,Folio 41 verso.
urn:cite:fuhc:pal.42r,83,Folio 42 recto.
urn:cite:fuhc:pal.42v,84,Folio 42 verso.
urn:cite:fuhc:pal.43r,85,Folio 43 recto.
urn:cite:fuhc:pal.43v,86,Folio 43 verso.
urn:cite:fuhc:pal.44r,87,Folio 44 recto.
urn:cite:fuhc:pal.44v,88,Folio 44 verso.
urn:cite:fuhc:pal.45r,89,Folio 45 recto.
urn:cite:fuhc:pal.45v,90,Folio 45 verso.
urn:cite:fuhc:pal.46r,91,Folio 46 recto.
urn:cite:fuhc:pal.46v,92,Folio 46 verso.
urn:cite:fuhc:pal.47r,93,Folio 47 recto.
urn:cite:fuhc:pal.47v,94,Folio 47 verso.
urn:cite:fuhc:pal.48r,95,Folio 48 recto.
urn:cite:fuhc:pal.48v,96,Folio 48 verso.
urn:cite:fuhc:pal.49r,97,Folio 49 recto.
urn:cite:fuhc:pal.49v,98,Folio 49 verso.
urn:cite:fuhc:pal.50r,99,Folio 50 recto.
urn:cite:fuhc:pal.50v,100,Folio 50 verso.
urn:cite:fuhc:pal.51r,101,Folio 51 recto.
urn:cite:fuhc:pal.51v,102,Folio 51 verso.
urn:cite:fuhc:pal.52r,103,Folio 52 recto.
urn:cite:fuhc:pal.52v,104,Folio 52 verso.
urn:cite:fuhc:pal.53r,105,Folio 53 recto.
urn:cite:fuhc:pal.53v,106,Folio 53 verso.
urn:cite:fuhc:pal.54r,107,Folio 54 recto.
urn:cite:fuhc:pal.54v,108,Folio 54 verso.
urn:cite:fuhc:pal.55r,109,Folio 55 recto.
urn:cite:fuhc:pal.55v,110,Folio 55 verso.
urn:cite:fuhc:pal.56r,111,Folio 56 recto.
urn:cite:fuhc:pal.56v,112,Folio 56 verso.
urn:cite:fuhc:pal.57r,113,Folio 57 recto.
urn:cite:fuhc:pal.57v,114,Folio 57 verso.
urn:cite:fuhc:pal.58r,115,Folio 58 recto.
urn:cite:fuhc:pal.58v,116,Folio 58 verso.
urn:cite:fuhc:pal.59r,117,Folio 59 recto.
urn:cite:fuhc:pal.59v,118,Folio 59 verso.
urn:cite:fuhc:pal.60r,119,Folio 60 recto.
urn:cite:fuhc:pal.60v,120,Folio 60 verso.
urn:cite:fuhc:pal.61r,121,Folio 61 recto.
urn:cite:fuhc:pal.61v,122,Folio 61 verso.
urn:cite:fuhc:pal.62r,123,Folio 62 recto.
urn:cite:fuhc:pal.62v,124,Folio 62 verso.
urn:cite:fuhc:pal.63r,125,Folio 63 recto.
urn:cite:fuhc:pal.63v,126,Folio 63 verso.
urn:cite:fuhc:pal.64r,127,Folio 64 recto.
urn:cite:fuhc:pal.64v,128,Folio 64 verso.
urn:cite:fuhc:pal.65r,129,Folio 65 recto.
urn:cite:fuhc:pal.65v,130,Folio 65 verso.
urn:cite:fuhc:pal.66r,131,Folio 66 recto.
urn:cite:fuhc:pal.66v,132,Folio 66 verso.
urn:cite:fuhc:pal.67r,133,Folio 67 recto.
urn:cite:fuhc:pal.67v,134,Folio 67 verso.
urn:cite:fuhc:pal.68r,135,Folio 68 recto.
urn:cite:fuhc:pal.68v,136,Folio 68 verso.
urn:cite:fuhc:pal.69r,137,Folio 69 recto.
urn:cite:fuhc:pal.69v,138,Folio 69 verso.
