EutociusUrn,EutociusImageReference,Order
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.7,"urn:cite:ecod:codbod8.cb-0008_170r@0.044,0.3233,0.6196,0.4524",011
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,"urn:cite:ecod:codbod8.cb-0008_171r@0.0631,0.3661,0.5666,0.4104",014
urn:cts:greekLit:tlg4072.tlg001.cb8:1.preface,"urn:cite:ecod:codbod8.cb-0008_167r@0.025,0.1733,0.6256,0.4831",001
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.8,"urn:cite:ecod:codbod8.cb-0008_172r@0.047,0.2813,0.6957,0.4059",018
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.6,"urn:cite:ecod:codbod8.cb-0008_172r@0.032,0.1193,0.6436,0.1905",017
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,"urn:cite:ecod:codbod8.cb-0008_172v@0.2072,0.3076,0.7538,0.4704",021
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.13,"urn:cite:ecod:codbod8.cb-0008_173v@0.3824,0.12,0.5796,0.6752",024
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.14,"urn:cite:ecod:codbod8.cb-0008_174v@0.3954,0.129,0.5636,0.3308",027
urn:cts:greekLit:tlg4072.tlg001.cb8:1.lemmata.7,"urn:cite:ecod:codbod8.cb-0008_175r@0.0581,0.1328,0.5826,0.2896",030
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1,"urn:cite:ecod:codbod8.cb-0008_175v@0.3904,0.1215,0.5706,0.4464",033
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.7,"urn:cite:ecod:codbod8.cb-0008_176r@0.036,0.3916,0.6476,0.3023",036
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.10,"urn:cite:ecod:codbod8.cb-0008_176v@0.3493,0.3961,0.6166,0.2356",039
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.14,"urn:cite:ecod:codbod8.cb-0008_177v@0.3333,0.3076,0.6476,0.4194",044
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.1,"urn:cite:ecod:codbod8.cb-0008_167r@0.045,0.6309,0.7608,0.1845",002
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.2,"urn:cite:ecod:codbod8.cb-0008_168r@0.0621,0.1208,0.6046,0.6594",004
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.1,"urn:cite:ecod:codbod8.cb-0008_167v@0.3544,0.1223,0.6146,0.4891",003
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.11,"urn:cite:ecod:codbod8.cb-0008_177r@0.0651,0.1335,0.5896,0.5919",041
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.3,"urn:cite:ecod:codbod8.cb-0008_168v@0.3453,0.1088,0.6236,0.6617",005
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,"urn:cite:ecod:codbod8.cb-0008_171r@0.0611,0.1193,0.5806,0.2746",013
urn:cts:greekLit:tlg4072.tlg001.cb8:2.preface,"urn:cite:ecod:codbod8.cb-0008_179r@0.0741,0.1253,0.5606,0.2198",047
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.diocles,"urn:cite:ecod:codbod8.cb-0008_182v@0.3764,0.1043,0.5816,0.4906",059
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.archytas,"urn:cite:ecod:codbod8.cb-0008_186r@0.0641,0.147,0.6006,0.6309",070
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_189r@0.048,0.1103,0.6006,0.6759",077
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_190v@0.3784,0.1245,0.5856,0.6632",080
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_191v@0.3784,0.1283,0.5866,0.6714",083
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_193r@0.0631,0.1148,0.5926,0.3818",086
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_193v@0.3664,0.2521,0.5956,0.5334",089
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_199r@0.048,0.1283,0.6096,0.6804",100
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_203v@0.3624,0.4344,0.5966,0.3593",111
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.synthesis,"urn:cite:ecod:codbod8.cb-0008_208v@0.3584,0.111,0.6156,0.2251",122
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_211v@0.3814,0.108,0.5916,0.6812",133
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_216r@0.0711,0.1163,0.6316,0.6864",144
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.4,"urn:cite:ecod:codbod8.cb-0008_169r@0.04,0.117,0.6116,0.3871",006
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.12,"urn:cite:ecod:codbod8.cb-0008_177r@0.043,0.6924,0.5726,0.114",042
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.5,"urn:cite:ecod:codbod8.cb-0008_169r@0.036,0.4989,0.6156,0.2813",007
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.9,"urn:cite:ecod:codbod8.cb-0008_172v@0.3774,0.1118,0.5906,0.2258",020
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.10,"urn:cite:ecod:codbod8.cb-0008_173r@0.048,0.1185,0.5766,0.4719",022
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.13,"urn:cite:ecod:codbod8.cb-0008_174r@0.0611,0.114,0.7057,0.3271",025
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.16,"urn:cite:ecod:codbod8.cb-0008_174v@0.3363,0.4366,0.6256,0.3593",028
urn:cts:greekLit:tlg4072.tlg001.cb8:1.lemmata.13,"urn:cite:ecod:codbod8.cb-0008_175r@0.044,0.3908,0.6216,0.2071",031
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.3,"urn:cite:ecod:codbod8.cb-0008_175v@0.3053,0.5544,0.6577,0.2378",034
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.9,"urn:cite:ecod:codbod8.cb-0008_176r@0.03,0.6714,0.6166,0.1283",037
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.11,"urn:cite:ecod:codbod8.cb-0008_176v@0.3313,0.6047,0.6386,0.189",040
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.5,"urn:cite:ecod:codbod8.cb-0008_169v@0.3734,0.126,0.5886,0.3653",008
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.6,"urn:cite:ecod:codbod8.cb-0008_171v@0.3764,0.7502,0.4905,0.0353",016
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.6,"urn:cite:ecod:codbod8.cb-0008_169v@0.3624,0.4614,0.5976,0.3151",009
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,"urn:cite:ecod:codbod8.cb-0008_171v@0.3584,0.105,0.5916,0.6482",015
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.synthesis,"urn:cite:ecod:codbod8.cb-0008_179v@0.3544,0.0743,0.5966,0.3781",048
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.plato,"urn:cite:ecod:codbod8.cb-0008_179v@0.3604,0.4306,0.5896,0.3496",049
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,"urn:cite:ecod:codbod8.cb-0008_183r@0.048,0.126,0.6086,0.6662",060
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.archytas,"urn:cite:ecod:codbod8.cb-0008_186v@0.3804,0.1073,0.5826,0.3053",071
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_197v@0.3974,0.1223,0.5756,0.7194",097
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_202v@0.3804,0.1163,0.5766,0.6932",108
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_207v@0.3704,0.123,0.6026,0.6677",119
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.7,"urn:cite:ecod:codbod8.cb-0008_210v@0.3974,0.1073,0.5816,0.6054",130
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_214v@0.3834,0.1253,0.5836,0.6819",141
urn:cts:greekLit:tlg4072.tlg001.cb8:1.axioms.6,"urn:cite:ecod:codbod8.cb-0008_170r@0.0561,0.1178,0.5986,0.2198",010
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.12,"urn:cite:ecod:codbod8.cb-0008_177v@0.3794,0.126,0.5886,0.1928",043
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,"urn:cite:ecod:codbod8.cb-0008_170v@0.3353,0.0855,0.6286,0.7037",012
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.9,"urn:cite:ecod:codbod8.cb-0008_172r@0.047,0.6609,0.6206,0.132",019
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.13,"urn:cite:ecod:codbod8.cb-0008_173r@0.033,0.5611,0.6336,0.2281",023
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.14,"urn:cite:ecod:codbod8.cb-0008_174r@0.038,0.4149,0.6236,0.3736",026
urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.16,"urn:cite:ecod:codbod8.cb-0008_175r@0.0581,0.1335,0.3984,0.0345",029
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1,"urn:cite:ecod:codbod8.cb-0008_175r@0.048,0.5664,0.6396,0.2281",032
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.3,"urn:cite:ecod:codbod8.cb-0008_176r@0.037,0.1215,0.5896,0.2993",035
urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.9,"urn:cite:ecod:codbod8.cb-0008_176v@0.3914,0.1305,0.5666,0.2858",038
urn:cts:greekLit:tlg4072.tlg001.cb8:2.preface,"urn:cite:ecod:codbod8.cb-0008_178r@0.025,0.2363,0.6316,0.5836",045
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.diocles,"urn:cite:ecod:codbod8.cb-0008_181v@0.3604,0.5191,0.5946,0.2678",057
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,"urn:cite:ecod:codbod8.cb-0008_185v@0.3674,0.1313,0.5976,0.6662",068
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_187r@0.0741,0.12,0.7157,0.6669",073
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_194v@0.3784,0.1193,0.5836,0.6744",091
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_200r@0.0631,0.1163,0.6046,0.6842",102
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_204v@0.3774,0.1118,0.5916,0.7014",113
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,"urn:cite:ecod:codbod8.cb-0008_209r@0.028,0.1193,0.6256,0.6654",124
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_212v@0.3644,0.1298,0.6006,0.2161",135
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_216v@0.2643,0.2333,0.6997,0.5619",146
urn:cts:greekLit:tlg4072.tlg001.cb8:2.preface,"urn:cite:ecod:codbod8.cb-0008_178v@0.3894,0.132,0.5726,0.6534",046
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.diocles,"urn:cite:ecod:codbod8.cb-0008_182r@0.0551,0.114,0.6216,0.6317",058
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,"urn:cite:ecod:codbod8.cb-0008_186r@0.0761,0.1208,0.5596,0.06",069
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_196r@0.0531,0.1268,0.5866,0.7112",094
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_201v@0.3774,0.114,0.5756,0.6744",105
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_206r@0.043,0.1253,0.6236,0.6737",116
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6,"urn:cite:ecod:codbod8.cb-0008_210r@0.032,0.0983,0.6056,0.3638",127
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_213r@0.042,0.5889,0.6146,0.2408",138
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_218r@0.0581,0.129,0.5986,0.1845",149
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.plato,"urn:cite:ecod:codbod8.cb-0008_180r@0.0691,0.1178,0.5976,0.198",050
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,"urn:cite:ecod:codbod8.cb-0008_183v@0.3814,0.1208,0.5806,0.6737",061
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_189v@0.3784,0.111,0.5846,0.6872",078
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_191r@0.0701,0.1253,0.5756,0.4276",081
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_192r@0.0601,0.0953,0.5896,0.6909",084
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_197r@0.0641,0.129,0.6016,0.6842",096
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_202r@0.0571,0.5146,0.5816,0.2716",107
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_207r@0.0621,0.1305,0.6016,0.6759",118
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.7,"urn:cite:ecod:codbod8.cb-0008_210r@0.032,0.7284,0.5946,0.0668",129
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_214r@0.0741,0.1268,0.5816,0.6774",140
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,"urn:cite:ecod:codbod8.cb-0008_180r@0.04,0.5154,0.6547,0.2761",051
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.pappus,"urn:cite:ecod:codbod8.cb-0008_184r@0.0741,0.126,0.5646,0.3256",062
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_186v@0.3874,0.3826,0.5686,0.4059",072
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_188r@0.047,0.1163,0.6166,0.6647",075
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,"urn:cite:ecod:codbod8.cb-0008_193r@0.048,0.4674,0.5866,0.3293",087
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_198r@0.0581,0.1245,0.6296,0.7344",098
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_203r@0.0651,0.1178,0.5896,0.6812",109
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_208r@0.0501,0.1268,0.5956,0.2078",120
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_210v@0.3714,0.6872,0.5946,0.1043",131
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_215r@0.0761,0.132,0.5946,0.6759",142
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.hero,"urn:cite:ecod:codbod8.cb-0008_180v@0.3894,0.1245,0.5686,0.3773",052
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.sporus,"urn:cite:ecod:codbod8.cb-0008_184r@0.047,0.4276,0.5946,0.3526",063
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.3,"urn:cite:ecod:codbod8.cb-0008_193v@0.3664,0.1185,0.5916,0.1425",088
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_198v@0.4054,0.1253,0.5606,0.6999",099
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.dionysodorus,"urn:cite:ecod:codbod8.cb-0008_203v@0.3854,0.1185,0.5786,0.3496",110
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.synthesis,"urn:cite:ecod:codbod8.cb-0008_208r@0.048,0.2986,0.5976,0.5184",121
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_211r@0.038,0.1125,0.6176,0.6677",132
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_215v@0.3744,0.1298,0.5916,0.6692",143
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_180v@0.3594,0.4914,0.5916,0.2933",053
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.sporus,"urn:cite:ecod:codbod8.cb-0008_184v@0.3914,0.1208,0.5626,0.3818",064
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_196v@0.3934,0.1245,0.5846,0.6977",095
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_202r@0.048,0.1185,0.6306,0.4239",106
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_206v@0.3614,0.1163,0.6096,0.6872",117
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.6.synthesis,"urn:cite:ecod:codbod8.cb-0008_210r@0.022,0.4314,0.6106,0.3263",128
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_213v@0.3834,0.1268,0.5876,0.6827",139
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_181r@0.0551,0.1193,0.6196,0.6827",054
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.menaechmus,"urn:cite:ecod:codbod8.cb-0008_184v@0.3864,0.4734,0.5776,0.3211",065
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_194r@0.0741,0.1223,0.5786,0.6692",090
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_199v@0.3844,0.1313,0.5806,0.6902",101
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_204r@0.0691,0.1125,0.6376,0.7412",112
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,"urn:cite:ecod:codbod8.cb-0008_208v@0.3403,0.3226,0.6286,0.4831",123
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,"urn:cite:ecod:codbod8.cb-0008_212r@0.0511,0.1275,0.6216,0.6767",134
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,"urn:cite:ecod:codbod8.cb-0008_216v@0.3714,0.1193,0.5996,0.1305",145
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.philon,"urn:cite:ecod:codbod8.cb-0008_181v@0.3874,0.117,0.5676,0.0533",055
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.menaechmus,"urn:cite:ecod:codbod8.cb-0008_185r@0.0781,0.1238,0.5726,0.4464",066
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_187v@0.3694,0.1073,0.5886,0.6767",074
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_195v@0.4084,0.1223,0.5606,0.6744",093
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_201r@0.0731,0.114,0.5816,0.6714",104
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_205v@0.3614,0.1215,0.5946,0.6827",115
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5.synthesis,"urn:cite:ecod:codbod8.cb-0008_209v@0.3483,0.5596,0.6126,0.2588",126
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,"urn:cite:ecod:codbod8.cb-0008_213r@0.0601,0.1305,0.6126,0.4636",137
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_217v@0.3804,0.1245,0.5826,0.6662",148
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.apollonius,"urn:cite:ecod:codbod8.cb-0008_181v@0.3654,0.1575,0.5836,0.3683",056
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.otherwise,"urn:cite:ecod:codbod8.cb-0008_185r@0.044,0.5521,0.7728,0.2566",067
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,"urn:cite:ecod:codbod8.cb-0008_188v@0.3834,0.1178,0.5736,0.2078",076
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.nicomedes,"urn:cite:ecod:codbod8.cb-0008_190r@0.0631,0.1223,0.5746,0.6797",079
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_191r@0.041,0.5184,0.6046,0.2671",082
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.2,"urn:cite:ecod:codbod8.cb-0008_192v@0.3483,0.2776,0.6296,0.5371",085
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_195r@0.0521,0.114,0.6086,0.6977",092
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,"urn:cite:ecod:codbod8.cb-0008_200v@0.3744,0.1035,0.5896,0.7127",103
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,"urn:cite:ecod:codbod8.cb-0008_205r@0.0681,0.1253,0.5896,0.7202",114
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5,"urn:cite:ecod:codbod8.cb-0008_209v@0.4084,0.1178,0.5526,0.4486",125
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8.lemma,"urn:cite:ecod:codbod8.cb-0008_212v@0.3904,0.3143,0.5606,0.4854",136
urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,"urn:cite:ecod:codbod8.cb-0008_217r@0.0611,0.1215,0.5876,0.6894",147
